College Name,Stream,Location,Exams Accepted,Rank,Fees,Website,Placement_Avg,Placement_Top,Hostel_Fees,Student_Sentiment
VJTI Mumbai,Engineering,Mumbai,MHT-CET,19,120000,https://vjti.ac.in/,1100000,2200000,50000,0.84
Jamia Hamdard,Pharmacy,New Delhi,"NEET, Jamia Entrance",27,180000,https://jamiahamdard.edu/,700000,1500000,45000,0.80
Gujarat National Law University,Law,Gandhinagar,CLAT,6,210000,https://www.gnlu.ac.in/,1200000,2500000,70000,0.85
SVKM's NMIMS,Pharmacy,Mumbai,"NIPER JEE, State CET",33,160000,https://pharmacy.nmims.edu/,650000,1300000,55000,0.78
IIM Bangalore,Management,Bangalore,CAT,2,240000,https://www.iimb.ac.in/,2300000,5000000,110000,0.93
Banasthali Vidyapith,Arts,Banasthali,"Banasthali Entrance, CBSE",29,90000,https://www.banasthali.org/,650000,1200000,35000,0.82
Thapar Institute of Engineering,Engineering,Patiala,"JEE Main, State CET",26,310000,https://thapar.edu/,1100000,2200000,80000,0.81
University of Hyderabad,Science,Hyderabad,"CUET, State CET",13,50000,https://uohyd.ac.in/,950000,1800000,40000,0.86
Amrita Vishwa Vidyapeetham,Engineering,Coimbatore,"Amrita Entrance, JEE Main",30,270000,https://www.amrita.edu/,1000000,1900000,75000,0.83
Tata Institute of Social Sciences,Humanities,Mumbai,TISS NET,9,70000,https://www.tiss.edu/,900000,1700000,40000,0.87
Srishti Institute of Art,Design,Bangalore,Srishti Entrance,12,320000,https://srishti.ac.in/,850000,1700000,85000,0.84
Lovely Professional University,Management,Phagwara,LPUNEST,45,160000,https://www.lpu.in/,700000,1500000,60000,0.76
Chandigarh University,Engineering,Mohali,"CUCET, JEE Main",38,180000,https://www.cuchd.in/,800000,1600000,65000,0.79
